Path,Sample,Condition
/home/ye/Work/R/Cytof/Aoye/sleep_cytof_uns/c03.fcs,c03,post
/home/ye/Work/R/Cytof/Aoye/sleep_cytof_uns/c04.fcs,c04,post
/home/ye/Work/R/Cytof/Aoye/sleep_cytof_uns/c06.fcs,c06,post
/home/ye/Work/R/Cytof/Aoye/sleep_cytof_uns/c07.fcs,c07,before
/home/ye/Work/R/Cytof/Aoye/sleep_cytof_uns/c13.fcs,c13,before
/home/ye/Work/R/Cytof/Aoye/sleep_cytof_uns/c14.fcs,c14,before
